Date,Forecasted_Sales,Lower_Bound,Upper_Bound
2014-01-31,20924.95,11199.25,30670.57
2014-02-28,12503.89,3055.33,22043.99
2014-03-31,42330.84,33167.08,52484.85
2014-04-30,29321.26,18946.34,38861.95
2014-05-31,28802.21,18822.52,38362.15
2014-06-30,29944.44,20093.37,39412.91
2014-07-31,29333.31,19777.26,38781.25
2014-08-31,33988.94,24270.19,43128.74
2014-09-30,63261.52,53158.94,72945.26
2014-10-31,37228.35,27796.85,47035.93
2014-11-30,73290.77,63810.41,82411.88
2014-12-31,65041.5,55850.57,74460.66
2015-01-31,20799.52,10586.67,31392.26
2015-02-28,14519.43,4781.77,24677.61
2015-03-31,51224.94,41478.82,61388.4
2015-04-30,36363.63,26912.24,46123.36
2015-05-31,28201.1,18962.53,37530.12
2015-06-30,32495.79,22879.68,42459.45
2015-07-31,33180.19,23375.26,42747.72
2015-08-31,40862.64,31105.58,51107.87
2015-09-30,75358.61,65392.0,84720.06
2015-10-31,35124.45,25624.08,44568.31
2015-11-30,87164.59,77960.34,96831.14
2015-12-31,74682.97,65375.41,84418.73
2016-01-31,20145.65,10713.74,29759.78
2016-02-29,16191.55,6246.32,25815.68
2016-03-31,48929.83,39655.76,58387.28
2016-04-30,31340.31,21469.14,41283.7
2016-05-31,48191.34,38417.61,58335.11
2016-06-30,43243.49,33998.27,52674.29
2016-07-31,39288.4,30055.74,49528.05
2016-08-31,39674.17,29689.88,50188.88
2016-09-30,74540.61,64855.93,84566.0
2016-10-31,65615.87,55652.79,75374.15
2016-11-30,88003.8,78150.35,97861.93
2016-12-31,84536.46,74775.42,94117.29
2017-01-31,36039.36,26923.69,46076.23
2017-02-28,18857.1,9125.65,28719.33
2017-03-31,60557.27,50880.73,70574.84
2017-04-30,40515.34,30069.19,49908.46
2017-05-31,49803.05,40360.38,59213.86
2017-06-30,47664.17,38299.77,57634.6
2017-07-31,44853.27,34962.11,54328.06
2017-08-31,48587.5,38704.98,58534.03
2017-09-30,90910.29,80952.79,100434.44
2017-10-31,65879.51,56687.31,75693.67
2017-11-30,105950.29,96670.95,115199.65
2017-12-31,97715.95,88305.77,107863.61
2018-01-31,36344.19,27553.17,45874.32
2018-02-28,21682.95,12005.43,31652.06
2018-03-31,73278.08,63148.75,82549.85
